id,title,artist,album,image,url,duration,year,genre
cVQR6Pf7,Chinnaga Chinnaga,Mani SharmaK. S. ChithraHariharan,Tagore,https://c.saavncdn.com/769/Tagore-2003-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,325,2003,
tYnQN1Rc,Sooseki (From &quot;Pushpa 2 The Rule&quot;),Shreya GhoshalDevi Sri PrasadChandrabose,Sooseki (From &quot;Pushpa 2 The Rule&quot;),https://c.saavncdn.com/597/Sooseki-From-Pushpa-2-The-Rule-Telugu-2024-20240528221003-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,260,2024,
kehuVn2F,Maate Vinadhuga,Sid Sriram,Taxiwaala,https://c.saavncdn.com/761/Taxiwaala-Telugu-2018-20181123170326-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,275,2018,
6KCYJHd6,Nalupu,Thaman SRita ThyagarajanSuchith Santoshan,Kanchana,https://c.saavncdn.com/730/Kanchana-2011-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,294,2011,
yQcTqw6-,Fear Song (From &quot;Devara Part 1&quot;) - Telugu,Anirudh RavichanderRamajogayya Sastry,Fear Song (From &quot;Devara Part 1&quot;) - Telugu,https://c.saavncdn.com/368/Fear-Song-From-Devara-Part-1-Telugu-Telugu-2024-20240519131003-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,195,2024,
ncBHw-c5,Suttamla Soosi,Anurag KulkarniYuvan Shankar Raja,Gangs Of Godavari,https://c.saavncdn.com/000/Gangs-Of-Godavari-Telugu-2024-20240530193901-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,202,2024,
O_iU1zto,Ola Olaala Ala,Ranina ReddyN.C. Karunya,Orange,https://c.saavncdn.com/105/Orange-Telugu-2006-20210624180302-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,334,2010,
PiXTKfRo,Radhika,Ram Miriyala,Tillu Square,https://c.saavncdn.com/000/Tillu-Square-Telugu-2023-20240405190047-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,188,2023,
WEQu2WTS,Oka Maru Kalisina Andam,KarthikHarris Jayaraj,Ghajini,https://c.saavncdn.com/871/Ghajini-2005-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,353,2005,
Z19qWKz9,O Rendu Prema Meghaalila (First Love Song),Vijai BulganinSreerama Chandra,Baby,https://c.saavncdn.com/732/Baby-Telugu-2023-20230710131123-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,314,2023,
VlZYRcfQ,Mastaaru Mastaaru,G.V. Prakash KumarShweta Mohan,Sir,https://c.saavncdn.com/blob/026/Sir-Telugu-2022-20230211174608-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,225,2022,
qlFP7Lvm,Jalsa Jalsa,Baba SehgalRita Thyagarajan,Jalsa,https://c.saavncdn.com/903/Jalsa-2008-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,259,2008,
gYM27Q-D,Vellake,Bharatt-SaurabhYazin NizarAnirudh Ravichander,Vellake,https://c.saavncdn.com/040/Vellake-Telugu-2023-20230510195047-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,217,2023,
1S6VGbCH,Chamka Chamka,Mani SharmaRanjithGeetha Madhuri,Chirutha,https://c.saavncdn.com/959/Chirutha-2007-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,308,2007,
bPFI_Oil,Oororo Yogi,KarthikSunitha Upadrasta,Yogi,https://c.saavncdn.com/630/Yogi-Telugu-2006-20190723074525-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,277,2006,
kBlrtHYZ,Maha Muddu,Mani SharmaShreya GhoshalKarthik,Jai Chiranjeeva,https://c.saavncdn.com/627/Jai-Chiranjeeva-2005-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,306,2005,
54S2cA8W,Chiguraku Chatu,Mani SharmaSujatha MohanS.P. Charan,Gudumba Shankar,https://c.saavncdn.com/495/Gudumba-Shankar-2004-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,311,2004,
ARuXdxyk,Kurchi Madathapetti,Mahesh BabuThaman SSri KrishnaSahithi Chaganti,Guntur Kaaram,https://c.saavncdn.com/000/Guntur-Kaaram-Telugu-2023-20240126145901-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,216,2023,
DK808b4x,Kalalo Kooda,Tanishk BagchiSid SriramVaishnavi Kovvuri,Liger (Telugu) (Original Motion Picture Soundtrack),https://c.saavncdn.com/448/Liger-Telugu-Original-Motion-Picture-Soundtrack-Telugu-2022-20220826184921-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,246,2022,
aVrpjw_7,Ticket Eh Konakunda,Ram Miriyala,Tillu Square,https://c.saavncdn.com/000/Tillu-Square-Telugu-2023-20240405190047-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,189,2023,
LLF5ZxnQ,Chiru Chiru,Yuvanshankar RajaHaricharanSagar Desai,Awaara,https://c.saavncdn.com/612/Awaara-Telugu-2013-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,286,2010,
yU_Zx3mf,Dum Masala,Thaman SSanjith Hegde,Guntur Kaaram,https://c.saavncdn.com/000/Guntur-Kaaram-Telugu-2023-20240126145901-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,206,2023,
1gugl0jt,Po Ve Po - The Pain Of Love,Anirudh RavichanderMohit Chauhan,3 (Telugu),https://c.saavncdn.com/244/3-Telugu-2012-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,255,2012,
egqN9nKL,Adhento Gaani Vunnapaatuga,Anirudh Ravichander,Jersey,https://c.saavncdn.com/623/Jersey-Telugu-2019-20190427102305-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,237,2019,
26ZdsX1e,Mr. Perfect,Rita ThyagarajanDevi Sri PrasadBaba Sehgal,Aarya - 2,https://c.saavncdn.com/298/Aarya-2-Telugu-2009-20190822135933-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,276,2009,
BgqPmnlD,Apudo Ipudo,Devi Sri PrasadSiddharth,Bommarillu,https://c.saavncdn.com/843/Bommarillu-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,244,2000,
2CDYPNKQ,Alloneredu Kalla,Mani SharmaK. S. ChithraParthasarathy,Seenu,https://c.saavncdn.com/406/Seenu-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,278,2000,
QRqVZRYe,Life Of Ram,Pradeep Kumar,Jaanu,https://c.saavncdn.com/568/Jaanu-Telugu-2020-20200201183214-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,364,2020,
85HwCRYA,Nindu Punammi Vela,Suman BadanakalSrinidhi Nerella,Nindu Punammi Vela,https://c.saavncdn.com/466/Nindu-Punammi-Vela-Telugu-2022-20220823135133-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,249,2022,
2tSfxpxj,Vikram Title Track (Telugu),Anirudh RavichanderPrudhvi Chandra,Vikram Hitlist,https://c.saavncdn.com/666/Vikram-Hitlist-Telugu-2022-20220607175939-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,218,2022,
